Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,169.990005,171.559998,169.770004,171.470001,168.043610,2868800
2021-12-28,171.460007,172.789993,171.199997,172.360001,168.915833,2332100
2021-12-29,172.789993,173.460007,171.929993,172.970001,169.513626,2299500
2021-12-30,173.539993,173.619995,172.229996,172.669998,169.219635,1988900
2021-12-31,172.460007,174.020004,172.110001,173.710007,170.238846,2914900
2022-01-03,172.199997,173.190002,170.570007,172.979996,169.523422,5488900
2022-01-04,172.660004,174.449997,172.199997,173.229996,169.768433,4717600
2022-01-05,173.360001,175.360001,173.229996,173.820007,170.346649,6564600
2022-01-06,173.910004,175.600006,173.229996,173.860001,170.385834,4288700
2022-01-07,174.089996,174.690002,172.610001,174.080002,170.601440,4916000
2022-01-10,174.440002,175.839996,173.619995,174.169998,170.689636,5055900
2022-01-11,173.679993,174.229996,171.619995,174.089996,170.611252,6452300
2022-01-12,173.899994,174.330002,172.949997,173.899994,170.425034,5268000
2022-01-13,173.710007,174.690002,173.240005,174.179993,170.699432,4310300
2022-01-14,174.570007,175.940002,173.399994,175.639999,172.130280,4474500
2022-01-18,173.619995,174.759995,173.149994,173.960007,170.483841,5789500
2022-01-19,173.960007,175.960007,173.570007,175.210007,171.708878,6424500
2022-01-20,175.410004,176.880005,173.839996,173.940002,170.464249,6284200
2022-01-21,175.330002,177.240005,174.110001,174.220001,170.738647,6753200
2022-01-24,175.490005,176.500000,168.960007,173.330002,169.866440,9263900
2022-01-25,172.080002,172.479996,169.740005,171.339996,167.916199,6536900
2022-01-26,169.360001,171.809998,166.449997,169.529999,166.142365,6841800
2022-01-27,170.779999,173.279999,168.779999,169.369995,165.985565,6543500
2022-01-28,168.509995,172.729996,167.210007,172.669998,169.219635,5796000
2022-01-31,170.770004,174.110001,170.589996,173.520004,170.052643,5908000
2022-02-01,173.149994,173.429993,169.559998,172.339996,168.896210,5952700
2022-02-02,172.759995,175.639999,172.570007,175.470001,171.963669,5767000
2022-02-03,175.270004,176.660004,173.830002,175.369995,171.865662,4632700
2022-02-04,173.100006,174.889999,171.190002,172.490005,169.043228,4592400
2022-02-07,172.740005,172.990005,171.210007,171.809998,168.376801,4813300
2022-02-08,172.630005,172.639999,170.309998,172.020004,168.582611,3957700
2022-02-09,172.500000,172.779999,171.009995,171.940002,168.504211,6780200
2022-02-10,168.660004,171.449997,167.300003,168.369995,165.005539,7899800
2022-02-11,168.059998,170.309998,167.690002,168.580002,165.211349,7299600
2022-02-14,169.419998,169.679993,165.100006,166.699997,163.368912,6822500
2022-02-15,167.220001,168.250000,165.259995,165.960007,162.643707,4943800
2022-02-16,165.630005,167.199997,164.539993,166.300003,162.976913,4161700
2022-02-17,166.009995,167.949997,165.000000,166.750000,163.417923,5156800
2022-02-18,167.110001,168.240005,166.220001,167.710007,164.358749,5181600
2022-02-22,168.570007,168.940002,166.229996,168.350006,164.985962,7733900
2022-02-23,169.119995,169.119995,166.520004,166.690002,163.359131,5812800
2022-02-24,165.710007,166.339996,160.289993,163.789993,160.517059,8888800
2022-02-25,164.419998,168.460007,164.259995,168.380005,165.015366,6535600
2022-02-28,164.039993,165.210007,161.410004,163.740005,160.468079,7677000
2022-03-01,163.070007,164.399994,161.300003,162.270004,159.027451,5107900
2022-03-02,162.979996,165.820007,162.490005,164.520004,161.232498,5452100
